Date_Key,Date,Year,Month,MonthName,Week,WeekDay,WeekDayName,DayNumber
20160606,6/6/2016,2016,6,June,24,2,Monday,6
20160607,6/7/2016,2016,6,June,24,3,Tuesday,7
20160608,6/8/2016,2016,6,June,24,4,Wednesday,8
20160609,6/9/2016,2016,6,June,24,5,Thursday,9
20160610,6/10/2016,2016,6,June,24,6,Friday,10
20160611,6/11/2016,2016,6,June,24,7,Saturday,11
20160612,6/12/2016,2016,6,June,25,1,Sunday,12
20160613,6/13/2016,2016,6,June,25,2,Monday,13
20160614,6/14/2016,2016,6,June,25,3,Tuesday,14
20160615,6/15/2016,2016,6,June,25,4,Wednesday,15
20160616,6/16/2016,2016,6,June,25,5,Thursday,16
20160617,6/17/2016,2016,6,June,25,6,Friday,17
20160618,6/18/2016,2016,6,June,25,7,Saturday,18
20160619,6/19/2016,2016,6,June,26,1,Sunday,19
20160620,6/20/2016,2016,6,June,26,2,Monday,20
20160621,6/21/2016,2016,6,June,26,3,Tuesday,21
20160622,6/22/2016,2016,6,June,26,4,Wednesday,22
20160623,6/23/2016,2016,6,June,26,5,Thursday,23
20160624,6/24/2016,2016,6,June,26,6,Friday,24
20160625,6/25/2016,2016,6,June,26,7,Saturday,25
20160626,6/26/2016,2016,6,June,27,1,Sunday,26
20160627,6/27/2016,2016,6,June,27,2,Monday,27
20160628,6/28/2016,2016,6,June,27,3,Tuesday,28
20160629,6/29/2016,2016,6,June,27,4,Wednesday,29
20160630,6/30/2016,2016,6,June,27,5,Thursday,30
20160701,7/1/2016,2016,7,July,27,6,Friday,1
20160702,7/2/2016,2016,7,July,27,7,Saturday,2
20160703,7/3/2016,2016,7,July,28,1,Sunday,3
20160704,7/4/2016,2016,7,July,28,2,Monday,4
20160705,7/5/2016,2016,7,July,28,3,Tuesday,5
20160706,7/6/2016,2016,7,July,28,4,Wednesday,6
20160707,7/7/2016,2016,7,July,28,5,Thursday,7
20160708,7/8/2016,2016,7,July,28,6,Friday,8
20160709,7/9/2016,2016,7,July,28,7,Saturday,9
20160710,7/10/2016,2016,7,July,29,1,Sunday,10
20160711,7/11/2016,2016,7,July,29,2,Monday,11
20160712,7/12/2016,2016,7,July,29,3,Tuesday,12
20160713,7/13/2016,2016,7,July,29,4,Wednesday,13
20160714,7/14/2016,2016,7,July,29,5,Thursday,14
20160715,7/15/2016,2016,7,July,29,6,Friday,15
20160716,7/16/2016,2016,7,July,29,7,Saturday,16
20160717,7/17/2016,2016,7,July,30,1,Sunday,17
20160718,7/18/2016,2016,7,July,30,2,Monday,18
20160719,7/19/2016,2016,7,July,30,3,Tuesday,19
20160720,7/20/2016,2016,7,July,30,4,Wednesday,20
20160721,7/21/2016,2016,7,July,30,5,Thursday,21
20160722,7/22/2016,2016,7,July,30,6,Friday,22
20160723,7/23/2016,2016,7,July,30,7,Saturday,23
20160724,7/24/2016,2016,7,July,31,1,Sunday,24
20160725,7/25/2016,2016,7,July,31,2,Monday,25
20160726,7/26/2016,2016,7,July,31,3,Tuesday,26
20160727,7/27/2016,2016,7,July,31,4,Wednesday,27
